index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
80,"['古典', '/zh/entry?entryID=c_39f0bfe1af78', '[gǔdiǎn]', '고전적.', '5급']","['固定', '/zh/entry?entryID=c_39f0bae5af77', '[gùdìng]', '고정되다. 불변하다.', '5급']","['姑姑', '/zh/entry?entryID=c_39f0beeeaa7f', '[gūgu]', '고모.', '5급']","['规矩', '/zh/entry?entryID=c_39f1bae2a56b', '[guīju]', '표준. 법칙. 규율. 규정. 습관.', '5급']","['规律', '/zh/entry?entryID=c_39f1bae1ac71', '[guīlǜ]', '규율. 법칙. 규칙.', '5급']","['规模', '/zh/entry?entryID=c_39f1bae1ae73', '[guīmó]', '규모. 형태. 범위. 영역.', '5급']","['归纳', '/zh/entry?entryID=c_39f1bdefaa80', '[guīnà]', '귀납하다. 종합하다.', '5급']","['柜台', '/zh/entry?entryID=c_39f1bbeeab7e', '[guìtái]', '계산대. 카운터.', '5급']","['规则', '/zh/entry?entryID=c_39f1bae0ad71', '[guīzé]', '규칙. 규정. 법규.', '5급']","['滚', '/zh/entry?entryID=c_39f1b8e1af72', '[gǔn]', '구르다. 뒹굴다.', '5급']","['姑娘', '/zh/entry?entryID=c_39f0bfe7a574', '[gūniang]', '처녀. 아가씨.', '5급']","['锅', '/zh/entry?entryID=c_39f1b9e5ac74', '[guō]', '솥. 냄비. 가마.', '5급']","['过分', '/zh/entry?entryID=c_39febee7ab87', '[guòfèn]', '지나치다. 분에 넘치다. 과분하다.', '5급']","['过敏', '/zh/entry?entryID=c_39febee2a57c', '[guòmǐn]', '(약물이나 외부 자극에) 이상 반응을 나타내다. 알레르기 반응을 보이다.', '5급']","['过期', '/zh/entry?entryID=c_39febee1a97f', '[guòqī]', '기한을 넘기다. 기일이 지나다.', '5급']","['国庆节', '/zh/entry?entryID=c_3cf8b9e8af098d', '[guóqìngjié]', ""국경절. '중화인민공화국(中华人民共和国)'의 건국을 기념하는 날. 1949년..."", '5급']","['果然', '/zh/entry?entryID=c_39f1b7e3a96d', '[guǒrán]', '과연. 아니나다를까. 생각한대로.', '5급']","['果实', '/zh/entry?entryID=c_39f1b7e3aa6e', '[guǒshí]', '과실.', '5급']","['国王', '/zh/entry?entryID=c_39f1b6e0a464', '[guówáng]', '국왕.', '5급']","['股票', '/zh/entry?entryID=c_39f0bce1aa70', '[gǔpiào]', '주. 주식. (유가) 증권.', '5급']"
81,"['骨头', '/zh/entry?entryID=c_39f0bde5ad78', '[gǔtou]', '뼈.', '5급']","['鼓舞', '/zh/entry?entryID=c_39f0bdeeae82', '[gǔwǔ]', '격려하다. 고무하다. 기운 나다.', '5급']","['鼓掌', '/zh/entry?entryID=c_39f0bdeeaa7e', '[gǔzhǎng]', '손뼉을 치다. 박수하다.', '5급']","['哈', '/zh/entry?entryID=c_39febfe5ae89', '[hā]', '아하! 오! 거봐! 와! [마음먹은 대로 되거나 기쁠 때의 놀라움을 나타냄]', '5급']","['海关', '/zh/entry?entryID=c_39febce5ad85', '[hǎiguān]', '세관(稅關).', '5급']","['海鲜', '/zh/entry?entryID=c_39febde6aa84', '[hǎixiān]', '해산물. 해물.', '5급']","['喊', '/zh/entry?entryID=c_39febbe1ad80', '[hǎn]', '외치다. 소리치다. 소리지르다. 고함치다. 큰 소리로 부르다.', '5급']","['行业', '/zh/entry?entryID=c_39feb9e3af82', '[hángyè]', '직업. 직종. 업종.', '5급']","['豪华', '/zh/entry?entryID=c_39feb6e2a574', '[háohuá]', '(생활이) 호화스럽다. 사치스럽다.', '5급']","['好客', '/zh/entry?entryID=c_39ffbee4ad87', '[hàokè]', '손님 접대를 좋아하다. 손님을 좋아하다.', '5급']","['好奇', '/zh/entry?entryID=c_39ffbee4ac86', '[hàoqí]', '호기심을 갖다. 궁금하게〔이상하게〕 생각하다. 신기한 것을 좋아하다. 유별난...', '5급']","['何必', '/zh/entry?entryID=c_39ffbce2ad83', '[hébì]', '구태여〔하필〕 …할 필요가 있는가. …할 필요가 없다.', '5급']","['合法', '/zh/entry?entryID=c_39ffbfe2a982', '[héfǎ]', '법에 맞다. 합법적이다. 합법하다. 적법하다.', '5급']","['何况', '/zh/entry?entryID=c_39ffbce1ae83', '[hékuàng]', '더군다나. 하물며.', '5급']","['合理', '/zh/entry?entryID=c_39ffbfefac92', '[hélǐ]', '도리에 맞다. 합리적이다.', '5급']","['恨', '/zh/entry?entryID=c_39ffb9e2ab7e', '[hèn]', '원망하다. 한하다. 증오하다. 적대시하다. 원수로 여기다.', '5급']","['和平', '/zh/entry?entryID=c_39ffbde7a480', '[hépíng]', '평화.', '5급']","['合同', '/zh/entry?entryID=c_39ffbce7a580', '[hétong]', '계약서.', '5급']","['核心', '/zh/entry?entryID=c_39ffbae0aa7c', '[héxīn]', '핵심.', '5급']","['合影', '/zh/entry?entryID=c_39ffbce5a57e', '[héyǐng]', '함께 사진을 찍다.', '5급']"
82,"['合作', '/zh/entry?entryID=c_39ffbce3ab82', '[hézuò]', '합작하다. 협력하다.', '5급']","['后背', '/zh/entry?entryID=c_38f6bce2a975', '[hòubèi]', '등.', '5급']","['后果', '/zh/entry?entryID=c_38f6bcefaf88', '[hòuguǒ]', '(주로 안 좋은) 결과. 뒷일. 뒤탈.', '5급']","['猴子', '/zh/entry?entryID=c_38f6bce5a574', '[hóuzi]', '원숭이.', '5급']","['壶', '/zh/entry?entryID=c_38f6bbeeaa81', '[hú]', '병. 항아리. 주전자.', '5급']","['滑', '/zh/entry?entryID=c_38f7bfe4a476', '[huá]', '반들반들하다. 매끈매끈하다. 미끄럽다. 빤질빤질하다.', '5급']","['划', '/zh/entry?entryID=c_38f7bce2ab78', '[huà]', '(금을) 긋다. 가르다. 나누다. 구분〔분할〕하다.', '5급']","['怀念', '/zh/entry?entryID=c_38f7bdeea882', '[huáiniàn]', '회상하다. 추억하다. 생각하다. 회고하다. 그리워하다.', '5급']","['怀孕', '/zh/entry?entryID=c_38f7bae7af7f', '[huáiyùn]', '임신하다.', '5급']","['黄金', '/zh/entry?entryID=c_38f7b6e0ad72', '[huángjīn]', '황금. [‘金(jīn)’의 통칭]', '5급']","['慌张', '/zh/entry?entryID=c_38f7b9eea97f', '[huāngzhāng]', '당황하다. 쩔쩔매다. 허둥대다. 동요하다.', '5급']","['缓解', '/zh/entry?entryID=c_38f7b8e6ae7b', '[huǎnjiě]', '(정도가) 완화되다. 호전되다. 누그러지다. 풀리다. 개선되다.', '5급']","['幻想', '/zh/entry?entryID=c_38f7b8e3ad77', '[huànxiǎng]', '공상. 환상. 몽상.', '5급']","['花生', '/zh/entry?entryID=c_38f6b7eea477', '[huāshēng]', '땅콩.', '5급']","['话题', '/zh/entry?entryID=c_38f7bde0ad79', '[huàtí]', '화제. 논제. 이야기의 주제.', '5급']","['化学', '/zh/entry?entryID=c_38f7bce5af7f', '[huàxué]', '화학.', '5급']","['华裔', '/zh/entry?entryID=c_38f7bfe5a97c', '[huáyì]', '중국과 중국의 인접국.', '5급']","['蝴蝶', '/zh/entry?entryID=c_38f6b8e3aa73', '[húdié]', '나비.', '5급']","['灰', '/zh/entry?entryID=c_38f4bee3ad7a', '[huī]', '재.', '5급']","['挥', '/zh/entry?entryID=c_38f4beefa982', '[huī]', '휘두르다. 흔들다. 내두르다.', '5급']"
83,"['灰尘', '/zh/entry?entryID=c_38f4bee3a572', '[huīchén]', '먼지.', '5급']","['恢复', '/zh/entry?entryID=c_38f4bfe7a476', '[huīfù]', '회복하다. 회복되다.', '5급']","['汇率', '/zh/entry?entryID=c_38f4bde1ab75', '[huìlǜ]', '환율.', '5급']","['灰心', '/zh/entry?entryID=c_38f4bee0aa74', '[huīxīn]', '낙담하다. 낙심하다. 의기소침하다.', '5급']","['婚礼', '/zh/entry?entryID=c_38f4b8e7a974', '[hūnlǐ]', '결혼식. 혼례.', '5급']","['婚姻', '/zh/entry?entryID=c_38f4b8e5ac75', '[hūnyīn]', '혼인. 결혼.', '5급']","['伙伴', '/zh/entry?entryID=c_38f4b7eea475', '[huǒbàn]', '동료. 친구. 동반자.', '5급']","['火柴', '/zh/entry?entryID=c_38f4b6e3a56a', '[huǒchái]', '성냥.', '5급']","['或许', '/zh/entry?entryID=c_38f5bee6a576', '[huòxǔ]', '아마. 어쩌면. 혹시 (…인지 모른다).', '5급']","['活跃', '/zh/entry?entryID=c_38f4b6e4ac72', '[huóyuè]', '활동적이다. 활기 있다. 활기 차다.', '5급']","['忽然', '/zh/entry?entryID=c_38f6baeeab81', '[hūrán]', '갑자기. 홀연. 별안간. 돌연. 문득. 어느덧.', '5급']","['忽视', '/zh/entry?entryID=c_38f6baeea47a', '[hūshì]', '소홀히 하다. 등한히 하다. 홀시하다. 경시하다. 주의하지 않다.', '5급']","['胡说', '/zh/entry?entryID=c_38f6bbefad85', '[húshuō]', '헛소리하다. 함부로 지껄이다. 말도 안 되는 소리를 하다.', '5급']","['胡同(儿)', '/zh/entry?entryID=c_38f6bbefa880', '[hútòng(r)]', '골목.', '5급']","['糊涂', '/zh/entry?entryID=c_38f6b8e1ac73', '[hútu]', '어리석다. 멍청하다. 흐리멍덩하다.', '5급']","['呼吸', '/zh/entry?entryID=c_38f6bae0a870', '[hūxī]', '호흡하다. 숨을 쉬다.', '5급']","['甲', '/zh/entry?entryID=c_38f2b8eea979', '[jiǎ]', '(거북 등의 몸을 보호하는) 단단〔딱딱〕한 껍데기.', '5급']","['嫁', '/zh/entry?entryID=c_38f2b6e1aa6b', '[jià]', '시집 가다. 출가하다.', '5급']","['嘉宾', '/zh/entry?entryID=c_38f2b8e2a468', '[jiābīn]', '귀빈. (존)귀한 손님. 가빈(佳賓). 내빈.', '5급']","['捡', '/zh/entry?entryID=c_38f3bfe4a573', '[jiǎn]', '줍다.', '5급']"
84,"['肩膀(儿)', '/zh/entry?entryID=c_38f2b7efa979', '[jiānbǎng(r)]', '어깨.', '5급']","['剪刀', '/zh/entry?entryID=c_38f3bce4aa75', '[jiǎndāo]', '가위.', '5급']","['讲究', '/zh/entry?entryID=c_38f3b9e2ae74', '[jiǎngjiu]', '중요시하다. 소중히 여기다. …에 정성들이다. …에 신경 쓰다. …에 주의하다.', '5급']","['酱油', '/zh/entry?entryID=c_38f3b6eeae7d', '[jiàngyóu]', '간장.', '5급']","['讲座', '/zh/entry?entryID=c_38f3b9efa97c', '[jiǎngzuò]', '강좌.', '5급']","['艰巨', '/zh/entry?entryID=c_38f2b7eeab7a', '[jiānjù]', '어렵고 힘들다. 어렵고도 무겁다. 막중하다.', '5급']","['坚决', '/zh/entry?entryID=c_38f2b7e2a86b', '[jiānjué]', '(태도·행동 등이) 단호하다. 결연(決然)하다.', '5급']","['艰苦', '/zh/entry?entryID=c_38f2b7eeaa79', '[jiānkǔ]', '간고하다. 어렵고 고달프다. 가난하고 고생스럽다.', '5급']","['简历', '/zh/entry?entryID=c_38f3bceeae83', '[jiǎnlì]', '이력서.', '5급']","['建立', '/zh/entry?entryID=c_38f3bae0a96e', '[jiànlì]', '창설하다. 건립하다. 수립하다. 성립하다. 세우다.', '5급']","['键盘', '/zh/entry?entryID=c_38f3b8e6ad76', '[jiànpán]', '건반. 키보드(keyboard).', '5급']","['坚强', '/zh/entry?entryID=c_38f2b7e2a467', '[jiānqiáng]', '굳세다. 굳고 강하다. 꿋꿋하다. 완강하다. 강경하다.', '5급']","['建设', '/zh/entry?entryID=c_38f3bae0ab70', '[jiànshè]', '(새로운 사업을) 창립하다. 건설하다. 세우다.', '5급']","['健身', '/zh/entry?entryID=c_38f3bbe3a871', '[jiànshēn]', '신체를 건강하게 하다. 튼튼하게 하다.', '5급']","['兼职', '/zh/entry?entryID=c_38f3bee0ae77', '[jiānzhí]', '겸직하다.', '5급']","['简直', '/zh/entry?entryID=c_38f3bde5ae7b', '[jiǎnzhí]', '그야말로. 너무나. 전혀. 완전히. 정말로. 참으로. [‘完全(완전히)’에 ...', '5급']","['建筑', '/zh/entry?entryID=c_38f3baefab7f', '[jiànzhù]', '건축물.', '5급']","['浇', '/zh/entry?entryID=c_38f0bee3a871', '[jiāo]', '관개하다. 물을 대다.', '5급']","['教材', '/zh/entry?entryID=c_38f0bbe7ae78', '[jiàocái]', '교재.', '5급']","['角度', '/zh/entry?entryID=c_38f0bce4ac74', '[jiǎodù]', '각도.', '5급']"
85,"['狡猾', '/zh/entry?entryID=c_38f0bce1a86d', '[jiǎohuá]', '교활하다. 간교하다.', '5급']","['交换', '/zh/entry?entryID=c_38f3b7e3a96e', '[jiāohuàn]', '교환하다.', '5급']","['交际', '/zh/entry?entryID=c_38f3b7e2aa6e', '[jiāojì]', '교제하다. 서로 사귀다.', '5급']","['教练', '/zh/entry?entryID=c_38f0bbe5ae76', '[jiàoliàn]', '감독. 코치(coach).', '5급']","['胶水(儿)', '/zh/entry?entryID=c_38f0bfe4ab76', '[jiāoshuǐ(r)]', '풀.', '5급']","['交往', '/zh/entry?entryID=c_38f0bee6ad79', '[jiāowǎng]', '왕래하다. 내왕하다. 교제하다.', '5급']","['教训', '/zh/entry?entryID=c_38f0bbe2a96e', '[jiàoxùn]', '교훈하다. 가르치고 타이르다. 훈계하다. 꾸짖다.', '5급']","['假如', '/zh/entry?entryID=c_38f2b9e0af72', '[jiǎrú]', '만약. 만일. 가령. [‘如果(만약)’에 상당함. 뒤에 흔히 ‘那么(nà·m...', '5급']","['假设', '/zh/entry?entryID=c_38f2b9e0ab6e', '[jiǎshè]', '가정하다.', '5급']","['驾驶', '/zh/entry?entryID=c_38f2b6e4a96d', '[jiàshǐ]', '(자동차·선박·비행기 등을) 운전〔조종·운항〕하다.', '5급']","['家庭', '/zh/entry?entryID=c_38f2b8e7ae77', '[jiātíng]', '가정.', '5급']","['家务', '/zh/entry?entryID=c_38f2b8e5ac73', '[jiāwù]', '가사. 집안일.', '5급']","['家乡', '/zh/entry?entryID=c_38f2b8e5af76', '[jiāxiāng]', '고향.', '5급']","['价值', '/zh/entry?entryID=c_38f2b6e5ad72', '[jiàzhí]', '가치.', '5급']","['假装', '/zh/entry?entryID=c_38f2b6e7ac73', '[jiǎzhuāng]', '가장하다. (짐짓) …체하다.', '5급']","['夹子', '/zh/entry?entryID=c_38f2baeea476', '[jiāzi]', '집게. 끼우개. 클립. 폴더. 바인더.', '5급']","['基本', '/zh/entry?entryID=c_38f5bae1af77', '[jīběn]', '기본의. 기본적인. 근본적인.', '5급']","['戒', '/zh/entry?entryID=c_38f1bfe5ad7a', '[jiè]', '방비하다. 경계하다.', '5급']","['届', '/zh/entry?entryID=c_38f1bfe3aa75', '[jiè]', '(예정된 때에) 이르다. 다다르다.', '5급']","['接触', '/zh/entry?entryID=c_38f0b8e5aa6f', '[jiēchù]', '닿다. 접촉하다.', '5급']"
86,"['接待', '/zh/entry?entryID=c_38f0b8e4ad71', '[jiēdài]', '접대하다. 응접하다. 영접하다.', '5급']","['阶段', '/zh/entry?entryID=c_38f0b8e7af76', '[jiēduàn]', '단계. 계단. 계제(階梯). 국면(局面).', '5급']","['结构', '/zh/entry?entryID=c_38f0b6efa471', '[jiégòu]', '구성. 구조. 조직. 짜임새.', '5급']","['结合', '/zh/entry?entryID=c_38f0b6eea874', '[jiéhé]', '결합하다. 결부하다.', '5급']","['接近', '/zh/entry?entryID=c_38f0b8e2af71', '[jiējìn]', '접근하다. 가까이하다. 다가가다. 친하다.', '5급']","['借口', '/zh/entry?entryID=c_38f1bce7ab77', '[jièkǒu]', '구실. 핑계.', '5급']","['结论', '/zh/entry?entryID=c_38f0b7e6a56a', '[jiélùn]', '결론. 단안(斷案).', '5급']","['节省', '/zh/entry?entryID=c_38f0b6e6ad71', '[jiéshěng]', '아끼다. 절약하다.', '5급']","['结实', '/zh/entry?entryID=c_38f0b8e6a56b', '[jiēshi]', '튼튼하다. 건장하다.', '5급']","['结账', '/zh/entry?entryID=c_38f0b7e3a86a', '[jiézhàng]', '계산하다. 결산하다. 회계를 마치다.', '5급']","['戒指(儿)', '/zh/entry?entryID=c_38f1bfe4a470', '[jièzhi(r)]', '반지.', '5급']","['及格', '/zh/entry?entryID=c_38f5b8e4aa73', '[jígé]', '합격하다.', '5급']","['集合', '/zh/entry?entryID=c_38f5b6e0a467', '[jíhé]', '집합하다.', '5급']","['激烈', '/zh/entry?entryID=c_38f5b8e7aa76', '[jīliè]', '(동작·말이) 격렬하다. 치열하다. 극렬하다. 맹렬하다.', '5급']","['系领带', '/zh/entry?entryID=c_3cf8bbe6ad0a8c', '[jìlǐngdài]', '넥타이를 매다', '5급']","['记录', '/zh/entry?entryID=c_38f2bfe6ad7c', '[jìlù]', '기록하다.', '5급']","['纪录', '/zh/entry?entryID=c_38f2bfe2ad78', '[jìlù]', '(인물·사건 등의) 기록. 다큐멘터리.', '5급']","['纪律', '/zh/entry?entryID=c_38f2bfe2ae79', '[jìlǜ]', '기율. 기강. 법도.', '5급']","['急忙', '/zh/entry?entryID=c_38f5b6e7a872', '[jímáng]', '급히. 황급히. 바삐.', '5급']","['寂寞', '/zh/entry?entryID=c_38f2bde1ad75', '[jìmò]', '외롭다. 쓸쓸하다. 적막하다.', '5급']"
87,"['进步', '/zh/entry?entryID=c_38f1bbeeaa7c', '[jìnbù]', '진보하다.', '5급']","['近代', '/zh/entry?entryID=c_38f1b8e0ae6f', '[jìndài]', '근대. 근세.', '5급']","['经典', '/zh/entry?entryID=c_38f1b6e2af70', '[jīngdiǎn]', '고전. 중요하고 권위 있는 저작.', '5급']","['精力', '/zh/entry?entryID=c_38febee1a97e', '[jīnglì]', '정력. 정신과 체력.', '5급']","['经商', '/zh/entry?entryID=c_38f1b7e7ac73', '[jīngshāng]', '장사하다. 상업에 종사하다.', '5급']","['精神', '/zh/entry?entryID=c_38febeeeac8e', '[jīngshén]', '정신.', '5급']","['经营', '/zh/entry?entryID=c_38f1b7e5a56a', '[jīngyíng]', '운영하다.', '5급']","['纪念', '/zh/entry?entryID=c_38f2bfe2a873', '[jìniàn]', '기념하다.', '5급']","['紧急', '/zh/entry?entryID=c_38f1baeea576', '[jǐnjí]', '긴급하다. 절박하다. 긴박하다.', '5급']","['进口(儿)', '/zh/entry?entryID=c_38f1b8e4ac71', '[jìnkǒu(r)]', '수입하다.', '5급']","['尽快', '/zh/entry?entryID=c_38f1baefae80', '[jǐnkuài]', '되도록 빨리.', '5급']","['尽力', '/zh/entry?entryID=c_38f1bbe1ac71', '[jìnlì]', '온 힘을〔전력을〕 다하다.', '5급']","['尽量', '/zh/entry?entryID=c_38f1bbe1ae73', '[jìnliàng]', '양을 다하다. 최대 한도에 이르다. 양을 다 채우다. 양껏 하다.', '5급']","['谨慎', '/zh/entry?entryID=c_38f1bbe3a56c', '[jǐnshèn]', '(언행이) 신중하다. 조심스럽다.', '5급']","['金属', '/zh/entry?entryID=c_38f1bdeea579', '[jīnshǔ]', '금속.', '5급']","['极其', '/zh/entry?entryID=c_38f5b9e7a471', '[jíqí]', '아주. (지)극히. 몹시. 매우. 대단히. 극도로. [다음절 형용사·동사만 ...', '5급']","['机器', '/zh/entry?entryID=c_38f5bce2af7a', '[jīqì]', '기계. 기기.', '5급']","['肌肉', '/zh/entry?entryID=c_38f5bde6ae7e', '[jīròu]', '근육.', '5급']","['计算', '/zh/entry?entryID=c_38f2bee0ae76', '[jìsuàn]', '계산하다. 산출하다. 셈하다.', '5급']","['集体', '/zh/entry?entryID=c_38f5b7e7ab76', '[jítǐ]', '집단. 단체.', '5급']"
88,"['救', '/zh/entry?entryID=c_38feb9e5ab7f', '[jiù]', '구하다. 구제하다. 구조하다.', '5급']","['酒吧', '/zh/entry?entryID=c_38febbe0ab7c', '[jiǔbā]', '(서양식) 술집. 바(bar).', '5급']","['救护车', '/zh/entry?entryID=c_38feb9e4ac7f', '[jiùhùchē]', '구급차.', '5급']","['舅舅', '/zh/entry?entryID=c_38feb6e5a97a', '[jiùjiu]', '외숙. 외삼촌.', '5급']","['记忆', '/zh/entry?entryID=c_38f2bfe4a875', '[jìyì]', '기억하다. 떠올리다.', '5급']","['急诊', '/zh/entry?entryID=c_38f5b6e4ae75', '[jízhěn]', '응급 진료. 급진.', '5급']","['集中', '/zh/entry?entryID=c_38f5b7e5ab74', '[jízhōng]', '집중하다. 모으다. 집중시키다. 집중되다.', '5급']","['捐', '/zh/entry?entryID=c_38ffbce0ad80', '[juān]', '헌납하다. 부조하다. 기부하다.', '5급']","['具备', '/zh/entry?entryID=c_38ffbfe5a984', '[jùbèi]', '(물품 등을) 갖추다. 구비하다. 완비하다.', '5급']","['巨大', '/zh/entry?entryID=c_38ffbee1ad83', '[jùdà]', '(규모·수량 등이) 아주 크다〔많다〕.', '5급']","['绝对', '/zh/entry?entryID=c_38ffbae1ad7f', '[juéduì]', '절대적인. 무조건적인. 무제한적인.', '5급']","['决赛', '/zh/entry?entryID=c_38ffbae6ad84', '[juésài]', '결승.', '5급']","['角色', '/zh/entry?entryID=c_38ffbae4ab80', '[juésè]', '(연극이나 영화·TV의) 배역. 역. 역할.', '5급']","['决心', '/zh/entry?entryID=c_38ffbae6ab82', '[juéxīn]', '결심. 결의. 다짐.', '5급']","['俱乐部', '/zh/entry?entryID=c_38ffbfe3ac85', '[jùlèbù]', '구락부. 클럽(club). 동우회. 동호회.', '5급']","['军事', '/zh/entry?entryID=c_38ffb8e2af80', '[jūnshì]', '군사. [군대·전쟁에 관련된 일]', '5급']","['均匀', '/zh/entry?entryID=c_38ffb9e7ab82', '[jūnyún]', '균등하다. 고르다. 균일하다.', '5급']","['居然', '/zh/entry?entryID=c_38feb6efa47f', '[jūrán]', '뜻밖에. 놀랍게도. 예상 외로. 생각 밖으로. 의외로.', '5급']","['据说', '/zh/entry?entryID=c_38ffbfefaf94', '[jùshuō]', '말하는 바에 의하면 …라 한다. 다른 사람의 말에 의하면 …라 한다. 전해지...', '5급']","['具体', '/zh/entry?entryID=c_38ffbfe5a580', '[jùtǐ]', '구체적이다.', '5급']"
89,"['桔子', '/zh/entry?entryID=c_3cf8bbe6ae088b', '[júzi]', '귤', '5급']","['卡车', '/zh/entry?entryID=c_38ffb6e6ac7f', '[kǎchē]', '트럭(truck).', '5급']","['开发', '/zh/entry?entryID=c_38ffb6efa480', '[kāifā]', '(자연 자원을) 개발하다. 개간하다. 개척하다.', '5급']","['开放', '/zh/entry?entryID=c_38ffb6eea580', '[kāifàng]', '(봉쇄·금지령·제한 등을) 해제하다. 개방하다.', '5급']","['开幕式', '/zh/entry?entryID=c_38ffb7eea884', '[kāimùshì]', '개막식.', '5급']","['开水', '/zh/entry?entryID=c_3ff6bee4af86', '[kāishuǐ]', '끓인 물.', '5급']","['砍', '/zh/entry?entryID=c_3ff6bce5ac82', '[kǎn]', '(도끼 등으로) 찍다. 패다. 치다.', '5급']","['看不起', '/zh/entry?entryID=c_3ff6bce3a97d', '[kànbuqǐ]', '경시하다. 얕보다. 깔보다. 경멸하다. 업신여기다.', '5급']","['看望', '/zh/entry?entryID=c_3ff6bde6ad85', '[kànwàng]', '방문하다. 문안하다. 찾아가 보다〔뵙다〕.', '5급']","['靠', '/zh/entry?entryID=c_3ff6bbe5a87d', '[kào]', '기대다.', '5급']","['颗', '/zh/entry?entryID=c_3ff6b8e3ad7d', '[kē]', '알. 과립.', '5급']","['克', '/zh/entry?entryID=c_3ff6b9eeaf8b', '[kè]', '그램.', '5급']","['课程', '/zh/entry?entryID=c_3ff6b7e4aa7a', '[kèchéng]', '교육 과정. 커리큘럼(curriculum).', '5급']","['克服', '/zh/entry?entryID=c_3ff6b9eea480', '[kèfú]', '극복하다. 이기다.', '5급']","['客观', '/zh/entry?entryID=c_3ff6b6efaf89', '[kèguān]', '객관적이다.', '5급']","['可见', '/zh/entry?entryID=c_3ff6b9e7ae83', '[kějiàn]', '…라는 것을 알 수 있다.', '5급']","['可靠', '/zh/entry?entryID=c_3ff6b9e6af83', '[kěkào]', '확실하다.', '5급']","['刻苦', '/zh/entry?entryID=c_3ff6b6e2ad7a', '[kèkǔ]', '노고를 아끼지 않다. 고생을 참아 내다. 몹시 애를 쓰다.', '5급']","['可怕', '/zh/entry?entryID=c_3ff6b9e4ac7e', '[kěpà]', '두렵다. 무섭다. 겁나다. 끔찍하다. 소름이 끼치다. 무시무시하다. 간담이 ...', '5급']","['空间', '/zh/entry?entryID=c_3ff7bee0a87c', '[kōngjiān]', '공간.', '5급']"
90,"['空闲', '/zh/entry?entryID=c_3ff7bce3aa7f', '[kòngxián]', '여가. 짬. 틈. 자유 시간. 한가한 시간.', '5급']","['控制', '/zh/entry?entryID=c_3ff7bce2a478', '[kòngzhì]', '통제하다. 제어하다. 규제하다.', '5급']","['口味(儿)', '/zh/entry?entryID=c_3ff7bde1a97d', '[kǒuwèi(r)]', '(지방 특유의) 맛. 향미. 풍미.', '5급']","['夸', '/zh/entry?entryID=c_3ff7b8e5ac7f', '[kuā]', '칭찬하다.', '5급']","['会计', '/zh/entry?entryID=c_3ff7b8efae8b', '[kuàijì]', '회계. 경리.', '5급']","['宽', '/zh/entry?entryID=c_3ff7b9e1a878', '[kuān]', '(폭이) 넓다. 드넓다. 너르다. 널따랗다. 널찍하다.', '5급']","['夸张', '/zh/entry?entryID=c_3ff7b8e3af80', '[kuāzhāng]', '과장하(여 말하)다.', '5급']","['昆虫', '/zh/entry?entryID=c_3ff4bfe3ad82', '[kūnchóng]', '곤충.', '5급']","['扩大', '/zh/entry?entryID=c_3ff4bce7aa80', '[kuòdà]', '(범위나 규모를) 확대하다. 넓히다. 키우다.', '5급']","['辣椒', '/zh/entry?entryID=c_3ff4bae1ac7a', '[làjiāo]', '고추.', '5급']","['拦', '/zh/entry?entryID=c_3ff4b8e6a576', '[lán]', '가로막다. 저지하다.', '5급']","['烂', '/zh/entry?entryID=c_3ff4b9e2a876', '[làn]', '썩다. 부패하다. 곪다. 문드러지다.', '5급']","['朗读', '/zh/entry?entryID=c_3ff4b6e2ad78', '[lǎngdú]', '낭독하다. 맑고 큰 소리로 읽다.', '5급']","['老百姓', '/zh/entry?entryID=c_3ff5bee6a981', '[lǎobǎixìng]', '백성. 국민. 일반 국민. [군인이나 공무원과 구별됨]', '5급']","['老板', '/zh/entry?entryID=c_3ff5bee6a880', '[lǎobǎn]', '상점 주인.', '5급']","['劳动', '/zh/entry?entryID=c_3ff4b7e6a979', '[láodòng]', '일. 노동.', '5급']","['劳驾', '/zh/entry?entryID=c_3ff4b7e2ad79', '[láojià]', '죄송합니다. 실례합니다. 수고하십니다. [부탁이나 양보를 청할 때 쓰는 겸손...', '5급']","['姥姥', '/zh/entry?entryID=c_3ff5bde5aa80', '[lǎolao]', '외할머니. 외조모.', '5급']","['老婆', '/zh/entry?entryID=c_3ff5bce7ad84', '[lǎopo]', '아내. 처. 집사람. 마누라.', '5급']","['老实', '/zh/entry?entryID=c_3ff5bce4ae82', '[lǎoshi]', '성실하다. 솔직하다. 정직하다.', '5급']"
